protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,1.903353
6,0.0,0.0,1.910908
6,110.0,0.0,1.947347
6,0.0,0.0,1.951344
6,110.0,0.0,1.951962
6,0.0,0.0,1.95197
6,0.0,0.0,1.987309
6,0.0,0.0,1.987319
6,517.0,0.0,1.987446
6,0.0,0.0,1.988039
6,1418.0,0.0,2.064188
6,0.0,0.0,2.064208
6,1418.0,0.0,2.064844
6,0.0,0.0,2.064853
6,1418.0,0.0,2.064964
6,0.0,0.0,2.064971
6,1418.0,0.0,2.065092
6,0.0,0.0,2.065098
6,0.0,0.0,2.065102
6,0.0,0.0,2.065104
6,991.0,0.0,2.065177
6,0.0,0.0,2.065184
6,64.0,0.0,2.065461
6,209.0,0.0,2.065941
6,0.0,0.0,2.141664
6,529.0,0.0,2.14367
6,0.0,0.0,2.143679
6,88.0,0.0,2.151513
6,0.0,0.0,2.151521
6,34.0,0.0,2.152233
6,0.0,0.0,2.152239
6,0.0,0.0,2.172476
6,0.0,0.0,2.240559
6,0.0,0.0,2.904335
6,0.0,0.0,2.904627
6,0.0,0.0,2.906821
6,0.0,0.0,2.906851
6,227.0,0.0,2.906935
6,0.0,0.0,2.907222
6,0.0,0.0,2.907232
6,240.0,0.0,2.907276
6,0.0,0.0,2.908778
6,102.0,0.0,2.909629
6,0.0,0.0,2.909639
6,472.0,0.0,2.9097
6,0.0,0.0,2.910272
6,0.0,0.0,2.910292
6,0.0,0.0,2.912076
6,1191.0,0.0,2.913436
6,0.0,0.0,2.91345
6,0.0,0.0,2.929894
6,0.0,0.0,2.929902
6,0.0,0.0,2.929906
6,0.0,0.0,2.92991
6,0.0,0.0,2.929914
6,0.0,0.0,2.932531
6,0.0,0.0,2.932549
6,0.0,0.0,2.932565
6,0.0,0.0,2.932567
6,0.0,0.0,2.933254
6,0.0,0.0,3.116543
6,0.0,0.0,3.119799
6,110.0,0.0,3.189955
6,110.0,0.0,3.195288
6,0.0,0.0,3.195312
6,0.0,0.0,3.232896
6,0.0,0.0,3.234613
6,0.0,0.0,3.23482
6,0.0,0.0,3.235813
6,0.0,0.0,3.238757
6,0.0,0.0,3.303369
6,0.0,0.0,3.303375
6,0.0,0.0,3.303378
6,0.0,0.0,3.303381
6,0.0,0.0,3.303384
6,517.0,0.0,3.303387
6,517.0,0.0,3.30339
6,0.0,0.0,3.303692
6,0.0,0.0,3.303898
6,1418.0,0.0,3.371941
6,1418.0,0.0,3.372028
6,1418.0,0.0,3.372148
6,1418.0,0.0,3.372268
6,998.0,0.0,3.372354
6,1418.0,0.0,3.381049
6,1418.0,0.0,3.38131
6,1418.0,0.0,3.38143
6,1418.0,0.0,3.38155
6,1000.0,0.0,3.381635
6,0.0,0.0,3.425325
6,517.0,0.0,3.490585
6,517.0,0.0,3.490591
6,0.0,0.0,3.490997
6,0.0,0.0,3.491005
6,1418.0,0.0,3.559919
6,1418.0,0.0,3.560009
6,1418.0,0.0,3.56016
6,1418.0,0.0,3.560284
6,999.0,0.0,3.560334
6,1418.0,0.0,3.560493
6,1418.0,0.0,3.560577
6,1418.0,0.0,3.560698
6,1418.0,0.0,3.560817
6,999.0,0.0,3.560903
6,404.0,0.0,3.677229
6,0.0,0.0,3.677235
6,0.0,0.0,3.677239
6,0.0,0.0,3.677241
6,0.0,0.0,3.677244
6,0.0,0.0,3.677247
6,0.0,0.0,3.67725
6,0.0,0.0,3.677732
6,0.0,0.0,3.680392
6,0.0,0.0,3.864623
6,0.0,0.0,4.051787
6,517.0,0.0,4.051797
6,0.0,0.0,4.052472
6,1044.0,0.0,4.145048
6,20.0,0.0,4.145118
6,1000.0,0.0,4.161809
6,0.0,0.0,4.238165
6,0.0,0.0,4.23817
6,404.0,0.0,4.238174
6,517.0,0.0,4.238177
6,0.0,0.0,4.241271
6,0.0,0.0,4.241288
6,999.0,0.0,4.366974
6,0.0,0.0,4.42523
6,64.0,0.0,4.425237
6,98.0,0.0,4.42524
6,499.0,0.0,4.425243
6,0.0,0.0,4.427804
6,0.0,0.0,4.427818
6,0.0,0.0,4.427821
6,608.0,0.0,4.428356
6,31.0,0.0,4.428856
6,20.0,0.0,4.45216
6,110.0,0.0,4.496282
6,110.0,0.0,4.501409
6,0.0,0.0,4.501424
6,31.0,0.0,4.515032
6,1255.0,0.0,4.547384
6,1418.0,0.0,4.547558
6,1418.0,0.0,4.548686
6,1418.0,0.0,4.548807
6,1418.0,0.0,4.548926
6,1418.0,0.0,4.551357
6,1418.0,0.0,4.551477
6,804.0,0.0,4.551541
6,1418.0,0.0,4.556516
6,1418.0,0.0,4.557026
6,1418.0,0.0,4.557145
6,1418.0,0.0,4.5587
6,1418.0,0.0,4.558818
6,1418.0,0.0,4.558938
6,1418.0,0.0,4.561693
6,1418.0,0.0,4.561809
6,1418.0,0.0,4.561932
6,0.0,0.0,4.612175
6,639.0,0.0,4.668959
6,0.0,0.0,4.799318
6,1418.0,0.0,4.865168
6,1418.0,0.0,4.865275
6,1418.0,0.0,4.865394
6,1418.0,0.0,4.865514
6,999.0,0.0,4.8656
6,20.0,0.0,4.865608
6,0.0,0.0,4.905052
6,0.0,0.0,4.90777
6,0.0,0.0,4.907789
6,229.0,0.0,4.907867
6,0.0,0.0,4.911395
6,20.0,0.0,4.915663
6,1238.0,0.0,4.91589
6,0.0,0.0,4.915902
6,456.0,0.0,4.915915
6,0.0,0.0,4.915919
6,0.0,0.0,4.91592
6,0.0,0.0,4.916562
6,0.0,0.0,4.919332
6,0.0,0.0,4.986587
6,0.0,0.0,5.052479
6,639.0,0.0,5.15514
6,0.0,0.0,5.173352
6,499.0,0.0,5.173358
6,517.0,0.0,5.173361
6,0.0,0.0,5.173711
6,0.0,0.0,5.176379
6,0.0,0.0,5.177764
6,20.0,0.0,5.264213
6,0.0,0.0,5.360696
6,0.0,0.0,5.360732
6,64.0,0.0,5.360744
6,98.0,0.0,5.360766
6,252.0,0.0,5.360781
6,404.0,0.0,5.360799
6,0.0,0.0,5.363208
6,0.0,0.0,5.363247
6,0.0,0.0,5.363256
6,608.0,0.0,5.363591
6,0.0,0.0,5.363662
6,31.0,0.0,5.364273
6,498.0,0.0,5.429817
6,452.0,0.0,5.429852
6,31.0,0.0,5.437664
6,39.0,0.0,5.438294
6,1418.0,0.0,5.51971
6,0.0,0.0,5.548125
6,20.0,0.0,5.672398
6,0.0,0.0,5.734776
6,0.0,0.0,5.921441
6,20.0,0.0,6.067297
6,1064.0,0.0,6.067463
6,1418.0,0.0,6.07462
6,999.0,0.0,6.07467
6,0.0,0.0,6.108716
6,252.0,0.0,6.108724
6,0.0,0.0,6.111145
6,639.0,0.0,6.163048
6,0.0,0.0,6.27306
6,0.0,0.0,6.273076
6,0.0,0.0,6.295265
6,64.0,0.0,6.295311
6,661.0,0.0,6.29533
6,0.0,0.0,6.297828
6,0.0,0.0,6.2981
6,608.0,0.0,6.298692
6,20.0,0.0,6.476562
6,0.0,0.0,6.482706
6,0.0,0.0,6.670078
6,0.0,0.0,6.670087
6,0.0,0.0,6.856377
6,20.0,0.0,6.877736
6,608.0,0.0,6.930842
6,110.0,0.0,6.953354
6,0.0,0.0,6.956649
6,110.0,0.0,6.957866
6,0.0,0.0,6.957909
6,0.0,0.0,7.04323
6,64.0,0.0,7.043256
6,0.0,0.0,7.043287
6,0.0,0.0,7.043304
6,0.0,0.0,7.045692
6,608.0,0.0,7.046275
6,0.0,0.0,7.046293
6,0.0,0.0,7.0465
6,0.0,0.0,7.230831
6,0.0,0.0,7.230849
6,414.0,0.0,7.23086
6,20.0,0.0,7.231268
6,0.0,0.0,7.233139
6,0.0,0.0,7.347147
6,0.0,0.0,7.353486
6,0.0,0.0,7.417177
6,39.0,0.0,7.488934
6,0.0,0.0,7.604347
6,0.0,0.0,7.604353
6,0.0,0.0,7.604356
6,0.0,0.0,7.604359
6,31.0,0.0,7.604363
6,64.0,0.0,7.604367
6,0.0,0.0,7.607082
6,1418.0,0.0,7.6073
6,1418.0,0.0,7.60742
6,1418.0,0.0,7.607541
6,742.0,0.0,7.607571
6,0.0,0.0,7.607581
6,0.0,0.0,7.791765
6,0.0,0.0,7.791788
6,35.0,0.0,7.791801
17,0.0,1258.0,7.791841
6,0.0,0.0,7.794895
17,0.0,1258.0,7.795735
17,0.0,1258.0,7.870697
17,0.0,1258.0,7.870801
6,608.0,0.0,7.95516
6,303.0,0.0,7.978506
6,0.0,0.0,7.978519
6,0.0,0.0,7.978526
6,0.0,0.0,7.981155
6,0.0,0.0,7.981645
17,0.0,1258.0,8.165864
6,0.0,0.0,8.165873
6,0.0,0.0,8.165878
6,73.0,0.0,8.168962
6,0.0,0.0,8.168973
17,0.0,1258.0,8.169063
17,0.0,833.0,8.169139
6,1418.0,0.0,8.169604
6,1418.0,0.0,8.184769
6,1418.0,0.0,8.184886
6,1418.0,0.0,8.185006
6,1418.0,0.0,8.185127
6,1418.0,0.0,8.185247
6,110.0,0.0,8.196382
6,110.0,0.0,8.199761
6,0.0,0.0,8.199773
6,0.0,0.0,8.352724
6,64.0,0.0,8.352746
6,0.0,0.0,8.35543
6,1418.0,0.0,8.355561
6,1418.0,0.0,8.355644
17,0.0,1258.0,8.469721
6,0.0,0.0,8.539583
17,0.0,1258.0,8.5396
17,0.0,1258.0,8.542849
6,0.0,0.0,8.726385
6,0.0,0.0,8.91375
6,0.0,0.0,9.100277
6,0.0,0.0,9.287563
6,303.0,0.0,9.287571
6,0.0,0.0,9.290579
6,0.0,0.0,9.474734
6,35.0,0.0,9.474747
6,414.0,0.0,9.474753
6,0.0,0.0,9.477065
6,0.0,0.0,9.477345
6,110.0,0.0,9.501842
6,110.0,0.0,9.506613
6,0.0,0.0,9.506627
6,0.0,0.0,9.66176
6,0.0,0.0,9.848667
17,0.0,1258.0,9.848686
17,0.0,1258.0,9.851816
6,0.0,0.0,9.994996
6,608.0,0.0,10.003198
6,0.0,0.0,10.035684
6,0.0,0.0,10.035692
6,0.0,0.0,10.035696
6,0.0,0.0,10.038468
6,0.0,0.0,10.038704
6,0.0,0.0,10.222716
6,0.0,0.0,10.596685
6,64.0,0.0,10.596698
6,0.0,0.0,10.600139
6,0.0,0.0,10.783499
6,608.0,0.0,10.830796
6,0.0,0.0,10.970224
6,0.0,0.0,11.157387
6,0.0,0.0,11.344511
6,64.0,0.0,11.34452
6,0.0,0.0,11.346696
6,0.0,0.0,11.531868
6,404.0,0.0,11.531897
6,0.0,0.0,11.534951
6,0.0,0.0,11.718282
6,0.0,0.0,11.718294
6,0.0,0.0,11.718298
17,0.0,1258.0,11.718305
6,0.0,0.0,11.905681
6,0.0,0.0,11.905705
6,0.0,0.0,11.905718
6,0.0,0.0,11.905729
6,31.0,0.0,11.90574
6,0.0,0.0,11.908054
6,110.0,0.0,11.958657
6,0.0,0.0,11.960718
6,110.0,0.0,11.961301
6,0.0,0.0,11.961313
6,0.0,0.0,12.081294
6,0.0,0.0,12.092637
6,0.0,0.0,12.09265
6,0.0,0.0,12.092668
6,0.0,0.0,12.092675
6,35.0,0.0,12.092688
6,39.0,0.0,12.092698
6,35.0,0.0,12.092705
6,0.0,0.0,12.094918
6,0.0,0.0,12.094935
6,0.0,0.0,12.094949
6,0.0,0.0,12.279444
6,0.0,0.0,12.279465
6,0.0,0.0,12.279476
6,0.0,0.0,12.466816
6,0.0,0.0,12.653235
6,0.0,0.0,12.840683
6,0.0,0.0,12.840705
6,0.0,0.0,12.840734
6,0.0,0.0,12.843733
6,0.0,0.0,13.027358
6,0.0,0.0,13.027383
6,0.0,0.0,13.027396
6,0.0,0.0,13.027408
6,0.0,0.0,13.147694
6,110.0,0.0,13.201142
6,0.0,0.0,13.214789
6,0.0,0.0,13.214804
6,0.0,0.0,13.21481
6,0.0,0.0,13.214817
6,0.0,0.0,13.214824
6,0.0,0.0,13.214829
6,0.0,0.0,13.214836
6,517.0,0.0,13.214842
6,0.0,0.0,13.215527
6,110.0,0.0,13.216292
6,0.0,0.0,13.216315
6,1418.0,0.0,13.282566
6,1418.0,0.0,13.282655
6,1418.0,0.0,13.282809
6,215.0,0.0,13.282851
6,517.0,0.0,13.401336
6,0.0,0.0,13.401354
6,0.0,0.0,13.401784
6,1418.0,0.0,13.477626
6,1418.0,0.0,13.477745
6,1418.0,0.0,13.477865
6,215.0,0.0,13.477947
6,0.0,0.0,13.588099
6,0.0,0.0,13.775705
6,0.0,0.0,13.775731
6,0.0,0.0,13.778327
6,0.0,0.0,13.962784
6,39.0,0.0,13.962792
6,0.0,0.0,13.965348
"1,17",0.0,1258.0,14.149906
"1,17",0.0,1258.0,14.336733
"1,17",0.0,1258.0,14.336759
6,35.0,0.0,14.336815
6,0.0,0.0,14.339018
6,0.0,0.0,14.381297
6,110.0,0.0,14.507871
6,110.0,0.0,14.510051
6,0.0,0.0,14.510061
6,0.0,0.0,14.523437
6,0.0,0.0,14.523443
6,0.0,0.0,14.523446
