protocol,tcp_bytes,quic_bytes,real_time
6,585.0,0.0,0.536682
6,0.0,0.0,0.536699
6,24.0,0.0,0.896142
6,110.0,0.0,0.900913
6,0.0,0.0,0.905171
6,110.0,0.0,0.905247
6,0.0,0.0,0.905257
6,0.0,0.0,1.189166
6,0.0,0.0,1.189188
6,24.0,0.0,1.27629
6,0.0,0.0,1.276308
6,0.0,0.0,1.95423
6,0.0,0.0,1.961602
6,0.0,0.0,2.037605
6,0.0,0.0,2.037621
6,517.0,0.0,2.037761
6,0.0,0.0,2.038366
6,1418.0,0.0,2.113231
6,0.0,0.0,2.113238
6,1418.0,0.0,2.113354
6,0.0,0.0,2.11336
6,1418.0,0.0,2.113473
6,0.0,0.0,2.113479
6,1418.0,0.0,2.113593
6,0.0,0.0,2.113599
6,989.0,0.0,2.113677
6,0.0,0.0,2.113684
6,64.0,0.0,2.113943
6,209.0,0.0,2.114337
6,0.0,0.0,2.188765
6,529.0,0.0,2.189281
6,0.0,0.0,2.189288
6,88.0,0.0,2.19383
6,0.0,0.0,2.193836
6,34.0,0.0,2.194389
6,0.0,0.0,2.194395
6,0.0,0.0,2.250633
6,0.0,0.0,2.328413
6,586.0,0.0,2.589858
6,0.0,0.0,2.589872
6,0.0,0.0,3.1637
6,0.0,0.0,3.163709
6,0.0,0.0,3.163713
6,0.0,0.0,3.163717
6,0.0,0.0,3.163721
6,0.0,0.0,3.163725
6,0.0,0.0,3.166381
6,0.0,0.0,3.166399
6,0.0,0.0,3.166621
6,0.0,0.0,3.166632
6,0.0,0.0,3.166864
6,0.0,0.0,3.166875
6,0.0,0.0,3.467693
6,0.0,0.0,3.469167
6,0.0,0.0,3.470893
6,0.0,0.0,3.471874
6,0.0,0.0,3.473593
6,0.0,0.0,3.474083
6,0.0,0.0,3.537294
6,0.0,0.0,3.537302
6,0.0,0.0,3.537305
6,0.0,0.0,3.537308
6,0.0,0.0,3.537311
6,0.0,0.0,3.537314
6,517.0,0.0,3.537317
6,517.0,0.0,3.53732
6,0.0,0.0,3.538045
6,0.0,0.0,3.538055
6,1418.0,0.0,3.613787
6,1418.0,0.0,3.613908
6,1418.0,0.0,3.61399
6,1418.0,0.0,3.61411
6,998.0,0.0,3.614195
6,1418.0,0.0,3.614334
6,1418.0,0.0,3.614455
6,1418.0,0.0,3.614575
6,1418.0,0.0,3.614697
6,998.0,0.0,3.614817
6,517.0,0.0,3.724554
6,517.0,0.0,3.724627
6,0.0,0.0,3.725079
6,0.0,0.0,3.72509
6,1418.0,0.0,3.794359
6,1418.0,0.0,3.794474
6,1418.0,0.0,3.794599
6,1418.0,0.0,3.794743
6,998.0,0.0,3.794799
6,1418.0,0.0,3.79792
6,1418.0,0.0,3.798039
6,1418.0,0.0,3.798158
6,1418.0,0.0,3.798279
6,997.0,0.0,3.798364
6,404.0,0.0,3.91179
6,0.0,0.0,3.911809
6,0.0,0.0,3.911814
6,0.0,0.0,3.91182
6,0.0,0.0,3.911825
6,0.0,0.0,3.91183
6,0.0,0.0,3.911836
6,0.0,0.0,3.91228
6,0.0,0.0,3.91451
6,0.0,0.0,4.098545
6,0.0,0.0,4.286192
6,1044.0,0.0,4.359201
6,20.0,0.0,4.359219
6,998.0,0.0,4.389239
6,0.0,0.0,4.47255
6,0.0,0.0,4.472561
6,517.0,0.0,4.472566
6,404.0,0.0,4.472572
6,0.0,0.0,4.472913
6,0.0,0.0,4.475094
6,586.0,0.0,4.563353
6,0.0,0.0,4.563399
6,517.0,0.0,4.659619
6,0.0,0.0,4.659645
6,64.0,0.0,4.659657
6,98.0,0.0,4.659669
6,252.0,0.0,4.659687
6,0.0,0.0,4.659955
6,0.0,0.0,4.662403
6,0.0,0.0,4.662433
6,0.0,0.0,4.662442
6,608.0,0.0,4.662471
6,31.0,0.0,4.662774
6,497.0,0.0,4.732705
6,452.0,0.0,4.732774
6,31.0,0.0,4.735261
6,39.0,0.0,4.735382
6,20.0,0.0,4.80991
6,0.0,0.0,4.846854
6,1418.0,0.0,5.013125
6,1418.0,0.0,5.013149
6,1418.0,0.0,5.01334
6,1418.0,0.0,5.013375
6,998.0,0.0,5.013548
6,0.0,0.0,5.033755
6,20.0,0.0,5.121451
6,20.0,0.0,5.121476
6,1418.0,0.0,5.165453
6,1418.0,0.0,5.165573
6,1418.0,0.0,5.165699
6,1418.0,0.0,5.165814
6,997.0,0.0,5.165897
6,0.0,0.0,5.220877
6,0.0,0.0,5.407332
6,252.0,0.0,5.407338
6,0.0,0.0,5.409683
6,20.0,0.0,5.444781
6,0.0,0.0,5.594903
6,64.0,0.0,5.594916
6,404.0,0.0,5.594921
6,0.0,0.0,5.59753
6,0.0,0.0,5.597544
6,608.0,0.0,5.598111
6,0.0,0.0,5.781397
6,20.0,0.0,5.849462
6,110.0,0.0,5.90642
6,0.0,0.0,5.909562
6,110.0,0.0,5.909573
6,0.0,0.0,5.909581
6,39.0,0.0,5.951617
6,0.0,0.0,5.968617
6,0.0,0.0,6.155991
6,1418.0,0.0,6.251007
6,998.0,0.0,6.251066
6,20.0,0.0,6.251074
6,1064.0,0.0,6.273612
6,24.0,0.0,6.276601
6,0.0,0.0,6.342895
6,64.0,0.0,6.342907
6,0.0,0.0,6.345401
6,0.0,0.0,6.52992
6,0.0,0.0,6.530072
6,64.0,0.0,6.530084
6,98.0,0.0,6.530094
6,499.0,0.0,6.530103
6,414.0,0.0,6.530112
6,0.0,0.0,6.532448
6,0.0,0.0,6.53315
6,0.0,0.0,6.533172
6,0.0,0.0,6.533191
6,608.0,0.0,6.533729
6,31.0,0.0,6.534147
6,586.0,0.0,6.574567
6,0.0,0.0,6.574665
6,1418.0,0.0,6.579356
6,1418.0,0.0,6.57948
6,1418.0,0.0,6.579588
6,997.0,0.0,6.579675
6,20.0,0.0,6.652464
6,1253.0,0.0,6.666101
6,1418.0,0.0,6.666226
6,1418.0,0.0,6.666347
6,1418.0,0.0,6.666468
6,1418.0,0.0,6.675635
6,1418.0,0.0,6.675745
6,1418.0,0.0,6.685251
6,866.0,0.0,6.685319
6,1418.0,0.0,6.693118
6,1418.0,0.0,6.693234
6,1418.0,0.0,6.702672
6,1418.0,0.0,6.702793
6,0.0,0.0,6.70667
6,1418.0,0.0,6.712638
6,1418.0,0.0,6.712715
6,0.0,0.0,6.71642
6,1418.0,0.0,6.72217
6,1418.0,0.0,6.7223
6,1418.0,0.0,6.731718
6,1418.0,0.0,6.731803
6,0.0,0.0,6.9043
6,20.0,0.0,7.052313
6,0.0,0.0,7.090598
6,1418.0,0.0,7.137734
6,0.0,0.0,7.278237
6,64.0,0.0,7.278259
6,0.0,0.0,7.281299
6,608.0,0.0,7.28184
6,20.0,0.0,7.463184
6,0.0,0.0,7.4645
6,0.0,0.0,7.464511
6,64.0,0.0,7.464524
6,0.0,0.0,7.466744
6,0.0,0.0,7.651464
6,0.0,0.0,7.651483
6,499.0,0.0,7.651489
6,0.0,0.0,7.651495
6,0.0,0.0,7.654632
6,0.0,0.0,7.654654
6,0.0,0.0,7.655439
6,0.0,0.0,7.838285
6,0.0,0.0,7.838293
6,0.0,0.0,7.838296
6,0.0,0.0,7.838299
6,0.0,0.0,7.838302
6,0.0,0.0,7.838306
6,31.0,0.0,7.838309
6,39.0,0.0,7.838312
6,35.0,0.0,7.838315
6,0.0,0.0,7.840655
6,0.0,0.0,7.840669
6,0.0,0.0,7.840672
6,608.0,0.0,7.845716
6,608.0,0.0,7.923346
6,0.0,0.0,7.959414
6,0.0,0.0,7.96208
6,0.0,0.0,8.025454
6,639.0,0.0,8.201531
6,0.0,0.0,8.212848
6,1253.0,0.0,8.216381
6,1418.0,0.0,8.216845
6,1418.0,0.0,8.216962
6,0.0,0.0,8.399344
6,1418.0,0.0,8.402402
6,0.0,0.0,8.586773
6,0.0,0.0,8.586781
6,64.0,0.0,8.586785
6,0.0,0.0,8.589595
6,0.0,0.0,8.589818
6,1418.0,0.0,8.589957
6,585.0,0.0,8.619941
6,0.0,0.0,8.619977
6,0.0,0.0,8.773412
6,0.0,0.0,8.773419
6,0.0,0.0,8.773423
6,0.0,0.0,8.773427
6,0.0,0.0,8.776424
6,1418.0,0.0,8.776541
6,1418.0,0.0,8.776723
6,608.0,0.0,8.947453
6,0.0,0.0,8.960797
6,0.0,0.0,9.14792
6,0.0,0.0,9.147935
6,35.0,0.0,9.147942
6,0.0,0.0,9.150293
6,0.0,0.0,9.334292
6,0.0,0.0,9.521953
6,0.0,0.0,9.7093
6,0.0,0.0,9.70932
6,0.0,0.0,9.895608
6,0.0,0.0,9.895618
6,0.0,0.0,9.895621
6,0.0,0.0,10.082721
6,866.0,0.0,10.085675
6,639.0,0.0,10.249534
6,0.0,0.0,10.269975
6,0.0,0.0,10.269991
6,0.0,0.0,10.269998
6,1253.0,0.0,10.272948
6,1418.0,0.0,10.273063
6,1418.0,0.0,10.273441
6,0.0,0.0,10.456671
6,0.0,0.0,10.456678
6,31.0,0.0,10.456682
6,0.0,0.0,10.456709
6,0.0,0.0,10.460084
6,0.0,0.0,10.460096
6,0.0,0.0,10.61819
6,586.0,0.0,10.638251
6,0.0,0.0,10.638268
6,0.0,0.0,10.643531
6,0.0,0.0,10.64354
6,0.0,0.0,10.643543
6,0.0,0.0,10.646434
6,0.0,0.0,10.646448
6,0.0,0.0,10.765142
6,0.0,0.0,10.830483
6,110.0,0.0,10.910414
6,0.0,0.0,10.914214
6,110.0,0.0,10.914512
6,0.0,0.0,10.914537
6,608.0,0.0,10.995198
6,0.0,0.0,11.017451
6,0.0,0.0,11.204659
6,0.0,0.0,11.204667
6,0.0,0.0,11.391986
6,35.0,0.0,11.392011
17,0.0,1258.0,11.392041
6,1418.0,0.0,11.394929
6,661.0,0.0,11.394999
6,0.0,0.0,11.395011
17,0.0,1258.0,11.39611
6,0.0,0.0,11.429246
6,0.0,0.0,11.429279
17,0.0,1258.0,11.46302
17,0.0,1258.0,11.463078
6,303.0,0.0,11.578445
6,0.0,0.0,11.578455
6,0.0,0.0,11.578458
6,35.0,0.0,11.578462
6,64.0,0.0,11.578467
6,0.0,0.0,11.581269
6,0.0,0.0,11.581503
6,0.0,0.0,11.581718
6,0.0,0.0,11.581726
6,73.0,0.0,11.698528
6,1418.0,0.0,11.698646
6,1418.0,0.0,11.717634
17,0.0,1258.0,11.76591
6,0.0,0.0,11.765921
6,1418.0,0.0,11.768988
6,1418.0,0.0,11.769073
6,1418.0,0.0,11.769473
17,0.0,1258.0,11.769569
17,0.0,826.0,11.769643
6,0.0,0.0,11.953009
6,1418.0,0.0,11.956028
6,1418.0,0.0,11.956117
17,0.0,1258.0,12.069799
6,0.0,0.0,12.139539
17,0.0,1258.0,12.139556
6,1418.0,0.0,12.143607
6,1418.0,0.0,12.143719
17,0.0,1258.0,12.144018
6,0.0,0.0,12.326363
6,1418.0,0.0,12.329788
6,1418.0,0.0,12.329902
6,0.0,0.0,12.513676
6,0.0,0.0,12.513691
6,1418.0,0.0,12.516656
6,1418.0,0.0,12.516733
6,586.0,0.0,12.642047
6,0.0,0.0,12.642094
6,0.0,0.0,12.687514
6,0.0,0.0,12.700963
6,1418.0,0.0,12.703889
6,1418.0,0.0,12.703978
6,1418.0,0.0,12.70413
6,1418.0,0.0,12.704256
6,0.0,0.0,12.88789
6,1418.0,0.0,12.891147
6,1418.0,0.0,12.891261
6,105.0,0.0,13.074862
6,0.0,0.0,13.0749
6,0.0,0.0,13.077178
6,144.0,0.0,13.077719
6,0.0,0.0,13.261865
6,0.0,0.0,13.448563
17,0.0,1258.0,13.448589
6,0.0,0.0,13.4516
17,0.0,1258.0,13.451953
6,0.0,0.0,13.635312
6,0.0,0.0,14.010042
6,0.0,0.0,14.383351
6,0.0,0.0,14.383379
6,586.0,0.0,14.641779
6,0.0,0.0,14.641823
6,0.0,0.0,14.650185
6,0.0,0.0,14.757543
6,0.0,0.0,14.757557
6,0.0,0.0,14.757562
6,0.0,0.0,14.757567
6,0.0,0.0,14.757572
6,0.0,0.0,14.757576
6,517.0,0.0,14.75758
6,0.0,0.0,14.758345
6,1418.0,0.0,14.824965
6,1418.0,0.0,14.825037
6,1631.0,0.0,14.825438
6,517.0,0.0,14.94474
17,0.0,1258.0,14.944761
6,0.0,0.0,14.944787
6,0.0,0.0,14.94479
6,0.0,0.0,14.944791
6,0.0,0.0,14.945095
6,0.0,0.0,14.946577
17,0.0,1258.0,14.949773
17,0.0,1258.0,14.949837
17,0.0,1258.0,14.949988
17,0.0,1258.0,14.950047
17,0.0,395.0,14.950081
6,1418.0,0.0,15.011246
6,1418.0,0.0,15.011361
6,1631.0,0.0,15.011735
6,0.0,0.0,15.132003
6,0.0,0.0,15.132025
17,0.0,1258.0,15.132033
6,0.0,0.0,15.13204
6,0.0,0.0,15.133625
17,0.0,1258.0,15.134972
6,0.0,0.0,15.248385
6,0.0,0.0,15.318723
6,35.0,0.0,15.318731
6,0.0,0.0,15.318735
17,0.0,1258.0,15.318739
6,0.0,0.0,15.32193
6,0.0,0.0,15.440275
6,0.0,0.0,15.505687
17,0.0,1258.0,15.505713
17,0.0,1258.0,15.50827
6,0.0,0.0,15.50939
6,0.0,0.0,15.69281
6,0.0,0.0,15.692827
6,0.0,0.0,15.692835
6,0.0,0.0,15.69284
6,0.0,0.0,15.694506
6,0.0,0.0,15.695412
6,0.0,0.0,15.695425
6,0.0,0.0,15.87981
6,0.0,0.0,15.879818
6,0.0,0.0,15.885303
6,110.0,0.0,15.915955
6,0.0,0.0,15.918611
6,110.0,0.0,15.919174
6,0.0,0.0,15.919192
6,0.0,0.0,15.998977
6,0.0,0.0,16.001642
6,0.0,0.0,16.066902
6,0.0,0.0,16.066909
6,0.0,0.0,16.25413
6,0.0,0.0,16.440414
6,0.0,0.0,16.440426
6,0.0,0.0,16.627717
6,0.0,0.0,16.627724
6,0.0,0.0,16.627728
6,0.0,0.0,16.627732
6,0.0,0.0,16.630311
6,0.0,0.0,16.630324
6,586.0,0.0,16.68263
6,0.0,0.0,16.682662
6,0.0,0.0,16.814383
17,0.0,1258.0,16.81439
17,0.0,1258.0,16.817827
6,0.0,0.0,17.001913
6,0.0,0.0,17.188523
6,0.0,0.0,17.188537
6,0.0,0.0,17.18855
6,0.0,0.0,17.188556
6,0.0,0.0,17.188565
6,517.0,0.0,17.188574
6,0.0,0.0,17.189039
6,1418.0,0.0,17.266027
6,1418.0,0.0,17.266146
6,1418.0,0.0,17.266267
6,34.0,0.0,17.266278
6,0.0,0.0,17.37572
6,0.0,0.0,17.562353
6,0.0,0.0,17.562361
6,35.0,0.0,17.562365
6,39.0,0.0,17.562369
6,0.0,0.0,17.565206
6,0.0,0.0,17.565222
"1,17",0.0,1258.0,17.749737
6,0.0,0.0,17.749768
6,0.0,0.0,17.751059
"1,17",0.0,1258.0,17.936483
6,0.0,0.0,17.936495
6,0.0,0.0,17.938007
"1,17",0.0,1258.0,18.123537
6,0.0,0.0,18.123568
6,0.0,0.0,18.123581
6,73.0,0.0,18.13346
6,0.0,0.0,18.310779
6,35.0,0.0,18.310814
6,171.0,0.0,18.310828
6,0.0,0.0,18.313796
6,0.0,0.0,18.313819
6,334.0,0.0,18.314866
6,1418.0,0.0,18.314957
6,1418.0,0.0,18.315467
6,1418.0,0.0,18.315549
6,1418.0,0.0,18.315707
6,1418.0,0.0,18.315968
6,1418.0,0.0,18.316047
6,1418.0,0.0,18.31621
6,1418.0,0.0,18.316288
6,1418.0,0.0,18.316692
6,1418.0,0.0,18.316766
6,1418.0,0.0,18.316927
6,1418.0,0.0,18.317007
6,1418.0,0.0,18.317438
6,1418.0,0.0,18.317551
6,1418.0,0.0,18.31767
6,1418.0,0.0,18.317791
6,1418.0,0.0,18.318163
6,1418.0,0.0,18.318285
6,1418.0,0.0,18.318367
6,1418.0,0.0,18.318503
6,1418.0,0.0,18.3189
6,1418.0,0.0,18.319021
6,1418.0,0.0,18.319416
6,1418.0,0.0,18.319538
6,1418.0,0.0,18.319891
6,1418.0,0.0,18.320018
6,1418.0,0.0,18.320139
6,1418.0,0.0,18.320245
6,73.0,0.0,18.354051
6,0.0,0.0,18.361008
6,0.0,0.0,18.36969
6,0.0,0.0,18.369879
6,0.0,0.0,18.370135
6,0.0,0.0,18.497621
6,1418.0,0.0,18.501558
6,1418.0,0.0,18.501676
6,1418.0,0.0,18.501781
6,1346.0,0.0,18.502007
6,1418.0,0.0,18.56889
6,1418.0,0.0,18.569008
6,1418.0,0.0,18.569128
6,34.0,0.0,18.569141
6,0.0,0.0,18.574703
6,0.0,0.0,18.638777
6,0.0,0.0,18.684927
6,0.0,0.0,18.684964
17,0.0,1258.0,18.684983
6,0.0,0.0,18.685004
6,0.0,0.0,18.687444
6,0.0,0.0,18.687654
6,1418.0,0.0,18.687848
6,1690.0,0.0,18.687979
6,585.0,0.0,18.725141
6,0.0,0.0,18.725164
6,0.0,0.0,18.731036
6,0.0,0.0,18.871422
6,0.0,0.0,19.058723
"1,17",0.0,1258.0,19.246063
"1,17",0.0,826.0,19.24611
6,0.0,0.0,19.432493
6,0.0,0.0,19.619792
6,0.0,0.0,19.800564
"1,17",0.0,1258.0,19.806968
6,0.0,0.0,19.992425
6,0.0,0.0,19.993643
6,0.0,0.0,20.180929
"1,17",0.0,1258.0,20.368134
6,0.0,0.0,20.554458
6,586.0,0.0,20.719999
6,0.0,0.0,20.720032
6,0.0,0.0,20.73715
6,0.0,0.0,20.74143
6,1418.0,0.0,20.785433
6,1418.0,0.0,20.785539
6,1418.0,0.0,20.785661
6,34.0,0.0,20.785671
6,110.0,0.0,20.919901
6,0.0,0.0,20.922902
6,110.0,0.0,20.924081
6,0.0,0.0,20.924125
6,0.0,0.0,20.928756
6,0.0,0.0,21.115403
6,0.0,0.0,21.115423
6,0.0,0.0,21.302645
6,0.0,0.0,21.489944
6,0.0,0.0,21.669302
6,0.0,0.0,21.669321
6,0.0,0.0,21.676804
6,0.0,0.0,21.676832
6,0.0,0.0,21.678393
6,0.0,0.0,21.863626
6,0.0,0.0,22.050978
6,0.0,0.0,22.051005
6,0.0,0.0,22.052211
6,0.0,0.0,22.237605
6,0.0,0.0,22.237612
6,0.0,0.0,22.237616
6,117.0,0.0,22.23762
6,97.0,0.0,22.237623
6,103.0,0.0,22.237662
6,0.0,0.0,22.240459
6,96.0,0.0,22.241161
6,1418.0,0.0,22.241355
6,1418.0,0.0,22.24196
6,1418.0,0.0,22.242083
6,1418.0,0.0,22.242322
6,1418.0,0.0,22.242417
6,1418.0,0.0,22.242538
6,1418.0,0.0,22.242692
6,1418.0,0.0,22.242785
6,1418.0,0.0,22.242945
6,1418.0,0.0,22.243024
6,1418.0,0.0,22.243144
6,1418.0,0.0,22.243519
6,1418.0,0.0,22.243669
6,1418.0,0.0,22.243761
6,1418.0,0.0,22.243911
6,1418.0,0.0,22.244295
6,1418.0,0.0,22.244417
6,1418.0,0.0,22.244509
6,1418.0,0.0,22.244629
6,1418.0,0.0,22.24529
6,1418.0,0.0,22.245367
6,1418.0,0.0,22.24548
6,1418.0,0.0,22.245602
6,1418.0,0.0,22.245979
6,1418.0,0.0,22.246473
6,1418.0,0.0,22.246588
6,1418.0,0.0,22.246787
6,1418.0,0.0,22.246961
6,1418.0,0.0,22.247174
6,1418.0,0.0,22.247203
6,1418.0,0.0,22.247322
6,1418.0,0.0,22.24748
6,1418.0,0.0,22.247689
"1,17",0.0,1258.0,22.424963
6,0.0,0.0,22.425004
6,0.0,0.0,22.611336
6,0.0,0.0,22.734741
6,586.0,0.0,22.736323
6,0.0,0.0,22.736339
6,0.0,0.0,22.798891
6,0.0,0.0,22.798918
6,0.0,0.0,22.798931
6,0.0,0.0,22.801557
6,0.0,0.0,22.801595
6,0.0,0.0,22.986069
6,0.0,0.0,22.986077
6,0.0,0.0,22.986082
6,517.0,0.0,22.986085
6,74.0,0.0,22.986089
6,98.0,0.0,22.986092
6,321.0,0.0,22.986125
6,32.0,0.0,22.98613
6,0.0,0.0,22.986472
6,1448.0,0.0,22.989126
6,0.0,0.0,22.989203
6,0.0,0.0,22.989212
6,0.0,0.0,22.989215
6,0.0,0.0,22.989217
6,1448.0,0.0,22.989219
6,2071.0,0.0,22.989371
6,918.0,0.0,22.989492
6,31.0,0.0,22.989502
6,1230.0,0.0,23.073431
6,247.0,0.0,23.073454
6,218.0,0.0,23.074426
6,172.0,0.0,23.074451
"1,17",0.0,1258.0,23.172408
"1,17",0.0,1258.0,23.359444
"1,17",0.0,1258.0,23.546932
"1,17",0.0,1258.0,23.733387
"1,17",0.0,395.0,23.7334
6,0.0,0.0,23.920656
6,0.0,0.0,24.107973
6,0.0,0.0,24.294334
6,0.0,0.0,24.294359
6,0.0,0.0,24.294373
6,74.0,0.0,24.294385
6,517.0,0.0,24.294397
6,0.0,0.0,24.295136
6,0.0,0.0,24.29729
6,1448.0,0.0,24.299463
6,918.0,0.0,24.299528
6,1448.0,0.0,24.299624
6,1448.0,0.0,24.299795
6,623.0,0.0,24.299854
"1,17",0.0,1258.0,24.48206
6,0.0,0.0,24.482103
6,0.0,0.0,24.482127
"1,17",0.0,1258.0,24.669294
6,0.0,0.0,24.669327
6,0.0,0.0,24.669342
6,0.0,0.0,24.669354
6,0.0,0.0,24.669366
6,0.0,0.0,24.669378
6,517.0,0.0,24.669389
6,1418.0,0.0,24.669797
6,0.0,0.0,24.669835
6,1418.0,0.0,24.748028
6,1418.0,0.0,24.748101
6,1418.0,0.0,24.74819
6,427.0,0.0,24.748205
6,586.0,0.0,24.776137
6,0.0,0.0,24.776179
6,517.0,0.0,24.855531
6,0.0,0.0,24.855968
