protocol,tcp_bytes,quic_bytes,real_time
6,0,0,0.468089
6,110,0,1.093768
6,110,0,1.11707
6,0,0,1.117091
6,0,0,1.909807
6,0,0,1.917223
6,0,0,1.990362
6,0,0,1.990377
6,517,0,1.990488
6,0,0,1.991096
6,1418,0,2.063765
6,0,0,2.063783
6,1418,0,2.064081
6,0,0,2.064088
6,1418,0,2.064199
6,0,0,2.064206
6,1418,0,2.06432
6,0,0,2.064326
6,989,0,2.064401
6,0,0,2.064406
6,64,0,2.064684
6,209,0,2.065054
6,0,0,2.137041
6,529,0,2.137268
6,0,0,2.137277
6,88,0,2.142017
6,0,0,2.142023
6,34,0,2.14306
6,0,0,2.143066
6,0,0,2.19462
6,0,0,2.202984
6,0,0,2.265335
6,0,0,2.301278
6,0,0,2.39864
6,0,0,2.589333
6,110,0,2.861013
6,0,0,2.863556
6,110,0,2.863918
6,0,0,2.863935
6,0,0,2.911394
6,0,0,2.915567
6,0,0,2.915588
6,229,0,2.91569
6,0,0,2.917831
6,1238,0,2.920649
6,0,0,2.920665
6,456,0,2.920677
6,0,0,2.920678
6,0,0,2.920684
6,0,0,2.921276
6,0,0,2.923197
6,0,0,2.936184
6,0,0,2.936192
6,0,0,2.938783
6,0,0,2.939014
6,0,0,2.973422
6,0,0,3.123333
6,0,0,3.123341
6,0,0,3.123345
6,0,0,3.123349
6,0,0,3.125795
6,0,0,3.12627
6,0,0,3.126272
6,0,0,3.126273
6,0,0,3.242242
6,0,0,3.246788
6,0,0,3.310633
6,0,0,3.310642
6,404,0,3.310645
6,0,0,3.3115
6,0,0,3.313783
6,0,0,3.430149
6,0,0,3.43227
6,0,0,3.433734
6,0,0,3.433741
6,0,0,3.497715
6,0,0,3.497721
6,0,0,3.497724
6,0,0,3.49773
6,0,0,3.497734
6,0,0,3.497739
6,517,0,3.497742
6,517,0,3.497745
6,0,0,3.498143
6,0,0,3.498144
6,1418,0,3.567883
6,1418,0,3.568237
6,1418,0,3.568357
6,1418,0,3.568478
6,1000,0,3.568563
6,1418,0,3.571656
6,1418,0,3.571776
6,1418,0,3.572199
6,1418,0,3.572319
6,999,0,3.572403
6,517,0,3.684728
6,517,0,3.684737
6,0,0,3.68474
6,0,0,3.684743
6,0,0,3.684746
6,0,0,3.684749
6,0,0,3.685185
6,0,0,3.685187
6,1418,0,3.767725
6,1418,0,3.767745
6,1418,0,3.767946
6,1418,0,3.768019
6,998,0,3.768099
6,1418,0,3.778253
6,1418,0,3.778372
6,1418,0,3.778707
6,1418,0,3.778848
6,999,0,3.778884
6,0,0,3.792582
6,1039,0,3.796157
6,20,0,3.796198
6,110,0,3.815321
6,110,0,3.817572
6,0,0,3.817595
