protocol,tcp_bytes,quic_bytes,real_time
6,0,0,0.546352
6,0,0,1.813033
6,0,0,1.813047
6,0,0,1.914344
6,0,0,1.921765
6,0,0,2.003174
6,0,0,2.003189
6,517,0,2.003324
6,0,0,2.003906
6,1418,0,2.085909
6,0,0,2.08593
6,1418,0,2.086038
6,0,0,2.086044
6,1418,0,2.086153
6,0,0,2.08616
6,1418,0,2.086242
6,0,0,2.086249
6,991,0,2.086359
6,0,0,2.08636
6,0,0,2.086368
6,0,0,2.086372
6,64,0,2.086672
6,209,0,2.087175
6,0,0,2.167852
6,529,0,2.169882
6,0,0,2.169892
6,88,0,2.174602
6,0,0,2.174609
6,34,0,2.175626
6,0,0,2.175633
6,0,0,2.179631
6,0,0,2.245261
6,110,0,2.246406
6,0,0,2.249801
6,110,0,2.25047
6,0,0,2.250479
6,0,0,2.936509
6,0,0,2.936519
6,0,0,2.936527
6,0,0,2.936538
6,0,0,2.938909
6,0,0,2.939307
6,0,0,2.939309
6,0,0,2.939309
6,0,0,3.123191
6,0,0,3.123199
6,0,0,3.125844
6,0,0,3.126288
6,0,0,3.23989
6,0,0,3.242298
6,0,0,3.242538
6,0,0,3.246226
6,0,0,3.310551
6,0,0,3.310594
6,0,0,3.310606
6,0,0,3.310611
6,517,0,3.310616
6,517,0,3.31062
6,0,0,3.311157
6,0,0,3.311158
6,1418,0,3.378521
6,1418,0,3.378639
6,1418,0,3.378756
6,1418,0,3.378875
6,1000,0,3.37896
6,1418,0,3.379372
6,1418,0,3.379487
6,1418,0,3.37958
6,1418,0,3.379701
6,1000,0,3.379786
6,0,0,3.429683
6,0,0,3.433287
6,517,0,3.497523
6,404,0,3.49753
6,0,0,3.497534
6,0,0,3.497537
6,0,0,3.49754
6,0,0,3.497544
6,0,0,3.497547
6,0,0,3.49755
6,0,0,3.497936
6,0,0,3.49802
6,0,0,3.499836
6,1418,0,3.565431
6,1418,0,3.565545
6,1418,0,3.565666
6,1418,0,3.565787
6,999,0,3.565871
6,517,0,3.6848
6,0,0,3.685245
6,1418,0,3.76824
6,1418,0,3.768274
6,1418,0,3.768455
6,1418,0,3.768536
6,998,0,3.768589
6,0,0,3.872008
6,1043,0,3.892109
6,20,0,3.892201
6,0,0,4.058912
6,0,0,4.245883
6,0,0,4.245889
6,404,0,4.245893
6,517,0,4.245897
6,20,0,4.246292
6,0,0,4.246517
6,0,0,4.248029
6,517,0,4.432941
6,0,0,4.43295
6,64,0,4.432952
6,98,0,4.432955
6,252,0,4.432958
6,0,0,4.435546
6,0,0,4.435795
6,0,0,4.435797
6,0,0,4.435797
6,608,0,4.435826
6,31,0,4.436112
6,506,0,4.514454
6,468,0,4.514511
6,31,0,4.516886
6,39,0,4.51698
6,20,0,4.556531
6,998,0,4.577235
6,0,0,4.619427
6,20,0,4.689424
6,0,0,4.806396
6,1418,0,4.894332
6,1418,0,4.894453
6,1418,0,4.894567
6,1418,0,4.894693
6,999,0,4.894738
6,110,0,4.915428
6,110,0,4.917313
6,0,0,4.917328
6,20,0,4.968143
6,0,0,4.993376
6,0,0,5.180648
6,252,0,5.180656
6,517,0,5.180659
6,0,0,5.182928
6,0,0,5.183101
6,0,0,5.367647
6,0,0,5.367683
6,0,0,5.367696
6,64,0,5.367718
6,98,0,5.367735
6,499,0,5.367752
6,20,0,5.367981
6,0,0,5.370167
6,0,0,5.370172
6,0,0,5.370173
6,608,0,5.370727
6,31,0,5.371404
6,31,0,5.45572
6,1254,0,5.506718
6,1418,0,5.506833
6,1418,0,5.507726
6,1418,0,5.507853
6,1418,0,5.50799
6,1418,0,5.510463
6,1418,0,5.510501
6,804,0,5.51064
6,1418,0,5.517824
6,1418,0,5.518268
6,1418,0,5.518394
6,1418,0,5.520292
6,1418,0,5.520321
6,1418,0,5.520475
6,1418,0,5.523273
6,1418,0,5.5233
6,1418,0,5.523513
6,0,0,5.554234
6,639,0,5.610888
6,1418,0,5.729237
6,0,0,5.741538
6,39,0,5.749904
6,20,0,5.790191
6,1063,0,5.841722
6,0,0,5.92821
6,639,0,6.095788
6,1418,0,6.109716
6,999,0,6.109743
6,0,0,6.115936
6,499,0,6.115951
6,0,0,6.118802
6,20,0,6.225001
6,0,0,6.302462
6,64,0,6.302486
6,0,0,6.302515
6,414,0,6.302533
6,0,0,6.30255
6,0,0,6.304886
6,0,0,6.305091
6,0,0,6.305097
6,0,0,6.305336
6,608,0,6.305625
6,0,0,6.489843
6,0,0,6.610077
6,0,0,6.611258
6,20,0,6.660351
6,0,0,6.676765
6,0,0,6.863962
6,608,0,6.938279
6,0,0,7.050752
6,0,0,7.05077
6,64,0,7.050779
6,0,0,7.053463
6,608,0,7.053734
6,20,0,7.070414
6,639,0,7.087924
6,0,0,7.237388
6,0,0,7.2374
6,0,0,7.237405
6,661,0,7.237413
6,0,0,7.237419
6,0,0,7.239999
6,0,0,7.240004
6,110,0,7.250948
6,0,0,7.255113
6,110,0,7.255658
6,0,0,7.255673
6,0,0,7.424547
6,0,0,7.424578
6,0,0,7.424598
6,31,0,7.424616
6,35,0,7.424631
6,0,0,7.424692
6,0,0,7.426945
6,0,0,7.426951
6,0,0,7.427255
6,0,0,7.611612
6,0,0,7.611647
6,0,0,7.611662
6,39,0,7.61168
6,64,0,7.611697
6,0,0,7.614002
6,0,0,7.614008
6,0,0,7.798618
6,0,0,7.798651
6,608,0,7.962197
6,0,0,7.985396
6,0,0,8.172704
6,0,0,8.359841
6,64,0,8.35986
6,0,0,8.362159
6,0,0,8.546313
6,0,0,8.546326
6,0,0,8.733856
6,0,0,8.733867
6,0,0,8.733872
6,0,0,8.733877
6,31,0,8.733882
6,1418,0,8.736546
6,1418,0,8.736664
6,1418,0,8.736822
6,1418,0,8.736946
6,0,0,8.736949
6,0,0,8.920351
6,0,0,8.920358
6,35,0,8.920361
17,0,1258,8.920373
6,182,0,8.923264
6,0,0,8.923268
17,0,1258,8.924312
17,0,1258,8.992471
17,0,1258,8.992565
6,39,0,9.107753
6,0,0,9.107768
17,0,1258,9.107776
6,0,0,9.110132
17,0,1258,9.110901
17,0,817,9.110954
6,0,0,9.294313
6,0,0,9.294322
6,0,0,9.294325
6,0,0,9.296631
6,0,0,9.297295
17,0,1258,9.410958
6,0,0,9.481452
6,0,0,9.668797
6,0,0,9.855958
17,0,1258,9.855977
17,0,1258,9.858973
6,110,0,9.91852
6,110,0,9.920039
6,0,0,9.920054
6,608,0,10.010056
6,0,0,10.042275
